PID,startdate,enddate,duration,week,noise,model_included,peak_time,peak_intensity,factors__current_season,factors__past_season,factors__past_season2,factors__model,survey_summary_from_participant
4761,2023-02-04 13:19:32,2023-02-04 13:22:03,151,-2,5.0,0,89.0,1338.0,1,0,0,0,"Evaluate skills at analyzing graph data
"
949,2023-02-04 13:20:02,2023-02-04 13:22:35,152,-2,2.5,1,120.0,2000.0,0,1,0,0,The goal of this study was to make a prediction of hospitalizations based on graphed data.
5633,2023-02-04 13:24:10,2023-02-04 13:27:52,221,-2,10.0,0,89.0,1123.0,1,1,1,0,To look at the data presented and estimate the peak day of hospitalizations and the number of hospitalizations.
5988,2023-02-04 13:25:24,2023-02-04 13:28:05,160,4,10.0,0,96.0,581.0,1,0,0,0,The goal of the study was to determine how data from previous years impacted predictions.
5398,2023-02-04 13:30:06,2023-02-04 13:33:10,184,4,2.5,0,108.0,370.0,1,1,1,0,"Examine people's ability to read graphs, understandings of epidemics"
2723,2023-02-04 13:37:51,2023-02-04 13:39:55,124,1,10.0,1,84.0,870.0,1,0,0,0,To have me guess when peak hospitalizations would be based on estimates and past data.
3196,2023-02-04 13:32:43,2023-02-04 13:40:07,444,1,5.0,1,59.0,140.0,0,0,1,0,To see what part of the data people would use to make the decision
3800,2023-02-04 13:38:05,2023-02-04 13:43:17,312,4,5.0,0,57.0,62.0,0,0,1,0,Our goal is to pinpoint certain peaks in a fake scenario. In these scenarios we had to give a value to the number of incidents and what day the most incidents took place.
3590,2023-02-04 13:42:44,2023-02-04 13:45:12,147,3,10.0,0,126.0,350.0,1,1,1,0,We were given past data and current data of the disease curve for hospitalizations in a given epidemic. We were tasked to predict when the peak of hospitalizations would be and how many people would be hospitalized.
5469,2023-02-04 13:43:44,2023-02-04 13:46:17,153,3,10.0,1,80.0,1500.0,1,1,1,0,"The goal of this study was to see what factors people use when making predictions about something. In this case, the prediction was about the peak day of hospitalizations from a pandemic."
2388,2023-02-04 13:41:34,2023-02-04 13:47:10,335,4,2.5,1,81.0,1000.0,1,1,1,1,"Look at graph, interpret it, and make a prediction of when the peak hospitalization will be. "
1543,2023-02-04 13:45:50,2023-02-04 13:47:49,118,3,2.5,0,57.0,1955.0,0,0,1,0,To read a graph of a fictional outbreak
3314,2023-02-04 13:43:44,2023-02-04 13:47:53,249,1,5.0,0,93.0,1375.0,1,1,1,0,"To see if, without the aid of regression, trend, or other actuarial analysis, a person can ""eyeball"" a trend in data to reach a reasonable prediction."
2164,2023-02-04 13:46:59,2023-02-04 13:49:12,132,4,5.0,1,100.0,1650.0,1,0,0,1,"The goal of this study was to investigate how people interpret and forecast data about hospitalizations and how to make conclusions based on this data,"
2856,2023-02-04 13:46:11,2023-02-04 13:49:31,199,2,10.0,1,105.0,2100.0,1,1,1,1,To see how people use information that is presented to them to made educated guesses.
2645,2023-02-04 13:49:48,2023-02-04 13:51:39,110,2,2.5,0,140.0,500.0,1,1,1,0,"estimating the peak day and peak numbers of hospitalizations
"
5812,2023-02-04 13:48:37,2023-02-04 13:51:48,190,1,2.5,1,79.0,955.0,1,0,1,0,"This study was evaluating how I used various epidemiological data, including projection data, to predict the peak infection."
4609,2023-02-04 13:49:04,2023-02-04 13:52:06,181,2,10.0,0,85.0,1100.0,1,1,1,0,The goal of this study was to measure the accuracy of one's ability to estimate infection trends based on data from previous seasons.
784,2023-02-04 13:48:41,2023-02-04 13:52:12,210,-2,2.5,0,40.0,1500.0,1,0,0,0,How data presented can affect the opinion of surveyors
2804,2023-02-04 13:50:15,2023-02-04 13:52:50,155,2,5.0,1,177.0,73.0,0,1,1,0,To determine how one uses existing and potentially unreliable data in predicting future behaviors. 
5671,2023-02-04 13:50:53,2023-02-04 13:53:09,136,3,5.0,0,57.0,64.0,0,0,1,0,I'm not sure
1100,2023-02-04 13:50:06,2023-02-04 13:54:32,266,2,2.5,1,104.0,2500.0,1,0,0,0,Reading the chart although it said hospitilzation for a ficticious epidemic
1580,2023-02-04 13:52:54,2023-02-04 13:54:45,110,4,10.0,1,95.0,500.0,1,1,0,1,To identify what information people take into account when predicting futures.
4759,2023-02-04 13:53:06,2023-02-04 13:54:49,103,3,2.5,0,65.0,1900.0,1,1,1,0,the goal of this study was to get an opinion of how different people analyze a chart and what factors they use 
1697,2023-02-04 13:50:20,2023-02-04 13:57:14,414,1,2.5,0,168.0,164.0,0,1,1,0,if we could make predictions based on a chart? idk
5076,2023-02-04 13:56:30,2023-02-04 13:57:19,49,2,2.5,1,57.0,64.0,0,0,1,0,
759,2023-02-04 13:55:51,2023-02-04 13:59:18,207,-2,5.0,0,89.0,1338.0,1,1,1,0,The goal was to predict the number for the peak of hospitalizations and determine what day that would be.
2166,2023-02-04 13:57:04,2023-02-04 13:59:20,136,1,5.0,0,60.0,135.0,1,1,1,0,To predict the effects of a pandemic and the peak days for cases and hospitalizations.
4199,2023-02-04 13:53:52,2023-02-04 13:59:23,330,3,5.0,0,84.0,700.0,1,1,0,0,The goal of this study was to determine the peak day and amount of hospitalization for a virus.
5683,2023-02-04 13:55:57,2023-02-04 13:59:38,220,-2,2.5,0,89.0,1670.0,1,0,0,0,"To use the chart to estimate the peak of the current infection, consisting of the day and number of hospitalizations "
1171,2023-02-04 13:56:29,2023-02-04 14:00:48,258,1,5.0,1,61.0,131.0,1,1,1,0,I predicted what I thought the peak day and peak hospitalizations were by using data from this season and the last two seasons.
3601,2023-02-04 13:58:23,2023-02-04 14:00:55,152,-2,5.0,1,57.0,1666.0,0,0,1,0,It is to figure out how many hospitalizations there were.
5467,2023-02-04 13:58:42,2023-02-04 14:01:18,156,4,2.5,1,57.0,64.0,1,1,1,1,Find the peek.
4501,2023-02-04 13:55:27,2023-02-04 14:01:19,351,1,10.0,0,120.0,1600.0,1,1,1,0,The goal of this study is to determine on what day the epidemic will peak and how many hospitalizations will be at the peak.
4107,2023-02-04 13:59:05,2023-02-04 14:01:32,147,-2,10.0,0,120.0,500.0,0,1,0,0,Use past data to predict infection rates in a hypothetical pandemic.
1022,2023-02-04 13:56:56,2023-02-04 14:01:37,281,3,10.0,0,110.0,200.0,1,1,0,0,"To see how accurate a person can make a prediction based upon previous data trends. Using the data from the previous 2 seasons and the current season, what would I expect with respect to the maximum number of hospitalizations and roughly what day that would occur."
1338,2023-02-04 13:58:44,2023-02-04 14:01:55,191,-2,2.5,1,109.0,2194.0,0,0,0,1,"To understand how people interpret graphs and information presented.  What's chosen when there's multiple data points presented, how is it ultimately interpreted by a user"
1472,2023-02-04 14:00:02,2023-02-04 14:02:01,119,2,5.0,1,120.0,1500.0,1,0,0,1,The goal of the study was to use a graph to predict the peak of a ficticious epidemic. This graph had past trends and predicted trends for 50% and 95% accuracy.
4233,2023-02-04 13:58:43,2023-02-04 14:02:04,200,4,10.0,0,112.0,100.0,1,1,1,0,The goal was to predict the peak day and hospitalizations of a pandemic.
174,2023-02-04 13:59:06,2023-02-04 14:02:20,194,3,10.0,1,50.0,1000.0,1,0,0,0,"Opinions on predicting an epidemic's peak, and what respondents base their opinions on."
2782,2023-02-04 14:00:42,2023-02-04 14:02:41,118,4,5.0,0,56.0,1700.0,1,0,0,0,"Read a graph. Then, predict when the epidemic peaked."
686,2023-02-04 13:58:44,2023-02-04 14:02:58,253,-2,10.0,1,56.0,1499.0,0,1,0,0,Predicting an outcome based on past results and the current status. 
841,2023-02-04 14:00:50,2023-02-04 14:03:09,138,1,2.5,0,77.0,77000.0,1,0,0,0,to see how people use information and data to make predictions?
4836,2023-02-04 13:58:52,2023-02-04 14:03:27,275,2,10.0,1,112.0,500.0,0,1,1,0,Determine the trend of hospitalizations from a potential epidemic 
1725,2023-02-04 14:00:06,2023-02-04 14:03:38,212,1,10.0,1,138.0,932.0,1,1,1,0,To determine if people could predict infections trends based on past trends. 
4401,2023-02-04 13:56:52,2023-02-04 14:03:43,411,4,5.0,1,60.0,100.0,1,0,0,0,The goal was to see if an average person could read a graph and make a prediction.
2434,2023-02-04 14:00:09,2023-02-04 14:04:15,246,1,10.0,1,90.0,1200.0,1,1,1,0,I think the goal of this study was to determine how people use previous data to predict a trend for the future.
2750,2023-02-04 13:59:51,2023-02-04 14:04:29,278,2,2.5,0,98.0,900.0,1,1,1,0,Test if people know how to make estimates when looking at charted data.
485,2023-02-04 13:56:18,2023-02-04 14:04:42,503,2,10.0,0,72.0,336.0,1,0,0,0,To generate a prediction of the peak day and hospitalizations
3509,2023-02-04 14:00:45,2023-02-04 14:04:44,239,4,2.5,0,57.0,1950.0,0,0,1,0,Seeing the difference in how people think diseases peak. 
4125,2023-02-04 14:00:43,2023-02-04 14:05:26,282,1,10.0,0,210.0,2500.0,0,1,0,0,it was to predict the numbers of hospilization and provided us with reference
593,2023-02-04 14:03:44,2023-02-04 14:05:30,106,2,5.0,0,57.0,62.0,0,0,1,0,how data can be confuising to people who are not knowledgable in the topic
2902,2023-02-04 14:01:58,2023-02-04 14:05:38,220,-2,5.0,0,89.0,1340.0,1,1,0,0,To see how people interpret sets of data. People can read the same data but draw different conclusions.
5802,2023-02-04 14:03:37,2023-02-04 14:05:39,122,-2,2.5,0,50.0,1900.0,0,0,1,0,Predicting epidemic statistics and numbers
128,2023-02-04 14:03:02,2023-02-04 14:06:05,183,-2,5.0,1,118.0,662.0,0,1,0,0,I believe the goal of this study was to test if the participants are able to read the graphical data provided and make guided predictions.
4521,2023-02-04 14:00:58,2023-02-04 14:06:14,316,1,2.5,1,110.0,3592.12,1,1,1,1,"The goal of this study was to look at endemic hospitalization rates using current data, past data, and future prediction models in order to guess when the most hospitalizations will occur and at what day they will peak."
5852,2023-02-04 14:03:51,2023-02-04 14:06:23,151,-2,10.0,0,89.0,1250.0,1,0,0,0,public's understanding of epidemiology and graph interpretation
3423,2023-02-04 14:05:11,2023-02-04 14:06:39,88,3,5.0,0,57.0,64.0,1,0,0,0,I'm not really sure
2375,2023-02-04 14:02:29,2023-02-04 14:07:09,280,3,2.5,0,91.0,1440.0,1,1,1,0,Guesstimation of peak of current virus
3055,2023-02-04 14:06:02,2023-02-04 14:07:24,82,2,10.0,1,92.0,176.0,1,1,1,0,To see what the lay interpretation of the risk of diseases is.
1163,2023-02-04 14:02:56,2023-02-04 14:07:29,272,3,5.0,1,98.0,1000.0,0,1,1,0,You wanted a prediction of the day and amount of hospitalizations based on some data that only showed two previously recorded histories. 
777,2023-02-04 14:05:29,2023-02-04 14:08:02,152,4,2.5,1,98.0,250.0,1,1,1,1,To test my predictions on an epidemic
4034,2023-02-04 14:05:41,2023-02-04 14:08:22,160,4,2.5,0,55.0,72.0,0,0,1,0,To figure out if we have any biases in our pandemic estimates now that we have data from two separate years (and have lived through it) 
789,2023-02-04 14:02:43,2023-02-04 14:08:59,376,3,2.5,1,112.0,1500.0,0,1,0,1,To predict when the peak day is and the estimated incident hospitalizations that will be caused by the true epidemic.
2975,2023-02-04 14:01:32,2023-02-04 14:09:33,481,-2,10.0,1,90.0,1150.0,1,1,1,1,the stated purpose? To my understanding it was to predict the actual peak day and number of cases at said peak.
1038,2023-02-04 14:05:43,2023-02-04 14:09:42,238,2,10.0,0,210.0,1490.0,0,1,1,0,To use data to answer questions 
1910,2023-02-04 14:08:23,2023-02-04 14:10:11,108,3,5.0,1,52.0,35.0,0,0,1,0,not sure
5147,2023-02-04 14:07:54,2023-02-04 14:10:14,139,2,5.0,1,96.0,1555.0,1,0,0,1,To use various types of data including past stats and future estimate to predict a peak in a disease outbreak
2156,2023-02-04 14:09:05,2023-02-04 14:10:24,79,3,5.0,0,57.0,64.0,0,0,1,0,To see if we could look at a graph and understand the data being shown
